Wall time,Step,Value
1519830789.238967,337,-0.015890471637248993
1519830794.638041,338,-0.016324646770954132
1519830795.696269,339,-0.326680451631546
1519830801.12483,340,-0.01734824851155281
1519830806.577408,341,-0.025542067363858223
1519830811.981584,342,-0.021758610382676125
1519830817.445131,343,-0.017595704644918442
1519830822.939209,344,-0.01327779795974493
1519830828.354799,345,-0.014608103781938553
1519830833.764108,346,-0.017157098278403282
1519830839.155918,347,-0.010199683718383312
1519830844.609457,348,-0.011873788200318813
1519830850.168594,349,-0.008655890822410583
1519830855.745622,350,-0.00966342817991972
1519830861.203552,351,-0.008382489904761314
1519830866.565028,352,-0.008372592739760876
1519830871.940462,353,-0.014093590900301933
1519830877.406836,354,-0.010121158324182034
1519830882.91709,355,-0.007019993849098682
1519830888.398701,356,-0.009637133218348026
1519830893.807168,357,-0.011376951821148396
1519830899.262761,358,-0.008688592351973057
1519830904.738119,359,-0.008704164996743202
1519830910.153055,360,-0.010853593237698078
1519830915.654289,361,-0.011009719222784042
1519830921.024516,362,-0.008766966871917248
1519830926.434217,363,-0.009651003405451775
1519830931.817957,364,-0.009648028761148453
1519830937.229683,365,-0.010691487230360508
1519830942.604653,366,-0.010114878416061401
1519830948.053876,367,-0.009777085855603218
1519830953.448732,368,-0.010985149070620537
1519830958.875337,369,-0.008611856959760189
1519830959.59974,370,-0.23544591665267944
1519830965.072915,371,-0.011376616545021534
1519830970.465281,372,-0.01075294241309166
1519830975.946077,373,-0.012163380160927773
1519830981.474068,374,-0.013581172563135624
1519830987.034941,375,-0.00967098493129015
1519830992.604267,376,-0.009017489850521088
1519830998.112811,377,-0.010039988905191422
1519831003.666829,378,-0.008736439980566502
1519831009.129017,379,-0.01158083789050579
1519831015.337577,380,-0.016432924196124077
1519831021.95247,381,-0.00945696048438549
1519831028.544298,382,-0.009663013741374016
1519831035.301819,383,-0.009042386896908283
1519831042.107813,384,-0.01221880130469799
1519831048.82113,385,-0.008566007018089294
1519831055.583508,386,-0.010883896611630917
1519831062.185134,387,-0.009080284275114536
1519831068.716874,388,-0.00848239753395319
1519831075.401195,389,-0.0096608130261302
1519831082.120834,390,-0.012173605151474476
1519831088.627507,391,-0.00920944381505251
1519831095.163581,392,-0.010633531957864761
1519831101.812948,393,-0.011121372692286968
1519831108.498228,394,-0.01483414601534605
1519831115.020097,395,-0.010886945761740208
1519831121.629794,396,-0.010023441165685654
1519831128.133064,397,-0.009147532284259796
1519831134.759499,398,-0.009244341403245926
1519831141.456474,399,-0.01019190065562725
1519831148.180388,400,-0.009816938079893589
1519831154.617894,401,-0.010269719175994396
1519831160.83218,402,-0.008395811542868614
1519831166.959523,403,-0.008533986285328865
1519831173.116961,404,-0.008655502460896969
1519831179.563688,405,-0.008912085555493832
1519831186.035795,406,-0.008670005016028881
1519831192.31109,407,-0.008699103258550167
1519831198.598334,408,-0.008343279361724854
1519831205.011813,409,-0.010253866203129292
1519831211.417922,410,-0.009785645641386509
1519831218.045624,411,-0.009580719284713268
1519831224.477661,412,-0.008960732258856297
1519831230.881793,413,-0.008730914443731308
1519831237.566824,414,-0.008651900105178356
1519831244.097741,415,-0.00847245380282402
1519831250.624975,416,-0.008606023155152798
1519831257.235633,417,-0.0086367754265666
1519831263.723253,418,-0.008275656029582024
1519831270.262984,419,-0.008234172128140926
1519831276.640694,420,-0.0083776181563735
1519831283.123882,421,-0.008232364431023598
1519831289.630373,422,-0.00846069399267435
1519831296.242226,423,-0.00820501521229744
1519831302.789931,424,-0.008142227306962013
1519831309.296736,425,-0.008040236309170723
1519831315.850585,426,-0.008235730230808258
1519831322.282574,427,-0.00808678101748228
1519831328.790895,428,-0.007805620785802603
1519831335.370216,429,-0.00820595771074295
1519831341.92415,430,-0.007870594039559364
1519831348.413738,431,-0.007987098768353462
1519831354.963234,432,-0.008150921203196049
1519831361.59738,433,-0.008727269247174263
1519831368.132144,434,-0.00848750863224268
1519831374.726061,435,-0.008424216881394386
1519831381.283703,436,-0.008439261466264725
1519831387.783014,437,-0.00877345446497202
1519831394.397491,438,-0.009526634588837624
1519831400.981981,439,-0.009154076687991619
1519831407.57458,440,-0.009277700446546078
1519831414.055022,441,-0.008906576782464981
1519831420.662367,442,-0.008634747005999088
1519831427.235063,443,-0.00905174296349287
1519831433.845975,444,-0.009528026916086674
1519831440.371811,445,-0.009022132493555546
1519831446.978852,446,-0.00886948499828577
1519831453.369204,447,-0.009178604930639267
1519831459.990785,448,-0.008954569697380066
1519831466.410929,449,-0.009309234097599983
1519831472.966932,450,-0.009051769971847534
1519831479.532622,451,-0.009140519425272942
1519831486.174924,452,-0.008633390069007874
1519831492.658954,453,-0.008635314181447029
1519831499.19275,454,-0.007944956421852112
1519831505.660803,455,-0.008415275253355503
1519831511.9547,456,-0.007772825192660093
1519831518.358712,457,-0.008131265640258789
1519831525.018123,458,-0.007683934643864632
1519831531.741535,459,-0.008098920807242393
1519831538.126813,460,-0.00779181020334363
1519831544.586249,461,-0.007631571032106876
1519831550.990058,462,-0.006876408588141203
1519831557.239893,463,-0.006724884733557701
1519831563.773004,464,-0.0071688308380544186
1519831570.076621,465,-0.007128512021154165
1519831576.41301,466,-0.00712744053453207
1519831582.754083,467,-0.007011698558926582
1519831589.006755,468,-0.006885963957756758
1519831595.277151,469,-0.00677300151437521
1519831601.617959,470,-0.00739370146766305
1519831607.875422,471,-0.0065015689469873905
1519831612.325497,472,-0.008242466486990452
1519831619.170516,473,-0.006812322419136763
1519831625.882422,474,-0.006678145844489336
1519831632.121381,475,-0.006694052834063768
1519831638.414753,476,-0.006929419003427029
1519831644.685106,477,-0.006901267915964127
1519831651.102231,478,-0.00696477759629488
1519831657.281761,479,-0.006660990417003632
1519831663.930044,480,-0.00655788229778409
1519831668.210099,481,-0.006132699549198151
1519831672.42331,482,-0.006132699549198151
1519831676.616256,483,-0.006132699549198151
1519831680.820587,484,-0.006132699549198151
1519831684.899003,485,-0.006132699549198151
1519831688.953497,486,-0.006132699549198151
1519831693.126796,487,-0.006132699549198151
1519831697.294316,488,-0.006132699549198151
1519831701.385553,489,-0.006132699549198151
